Date,Match,Category,Quantity,Price
2026-02-25,M9,1,1,893.0
2026-02-25,M9,2,1,796.0
2026-02-25,M9,3,1,814.0
2026-02-25,M9,4,1,1057.0
2026-02-25,M9,1,2,971.0
2026-02-25,M9,2,2,796.0
2026-02-25,M9,3,2,814.0
2026-02-25,M9,4,2,905.0
2026-02-25,M9,1,3,1000.0
2026-02-25,M9,2,3,1037.0
2026-02-25,M9,3,3,854.0
2026-02-25,M9,4,3,1057.0
2026-02-25,M9,1,4,998.0
2026-02-25,M9,2,4,907.0
2026-02-25,M9,3,4,853.0
2026-02-25,M9,4,4,937.0
2026-02-25,M18,1,1,665.0
2026-02-25,M18,2,1,657.0
2026-02-25,M18,3,1,621.0
2026-02-25,M18,4,1,622.0
2026-02-25,M18,1,2,800.0
2026-02-25,M18,2,2,657.0
2026-02-25,M18,3,2,621.0
2026-02-25,M18,4,2,670.0
2026-02-25,M18,1,3,1003.0
2026-02-25,M18,2,3,874.0
2026-02-25,M18,3,3,756.0
2026-02-25,M18,4,3,1035.0
2026-02-25,M18,1,4,816.0
2026-02-25,M18,2,4,659.0
2026-02-25,M18,3,4,622.0
2026-02-25,M18,4,4,687.0
2026-02-25,M30,1,1,1133.0
2026-02-25,M30,2,1,965.0
2026-02-25,M30,3,1,822.0
2026-02-25,M30,4,1,826.0
2026-02-25,M30,1,2,1133.0
2026-02-25,M30,2,2,965.0
2026-02-25,M30,3,2,822.0
2026-02-25,M30,4,2,1013.0
2026-02-25,M30,1,3,1363.0
2026-02-25,M30,2,3,1004.0
2026-02-25,M30,3,3,931.0
2026-02-25,M30,4,3,1142.0
2026-02-25,M30,1,4,1134.0
2026-02-25,M30,2,4,1004.0
2026-02-25,M30,3,4,823.0
2026-02-25,M30,4,4,1013.0
2026-02-25,M42,1,1,906.0
2026-02-25,M42,2,1,788.0
2026-02-25,M42,3,1,632.0
2026-02-25,M42,4,1,777.0
2026-02-25,M42,1,2,983.0
2026-02-25,M42,2,2,789.0
2026-02-25,M42,3,2,723.0
2026-02-25,M42,4,2,723.0
2026-02-25,M42,1,3,1000.0
2026-02-25,M42,2,3,976.0
2026-02-25,M42,3,3,759.0
2026-02-25,M42,4,3,1180.0
2026-02-25,M42,1,4,1000.0
2026-02-25,M42,2,4,932.0
2026-02-25,M42,3,4,723.0
2026-02-25,M42,4,4,893.0
2026-02-25,M74,1,1,1003.0
2026-02-25,M74,2,1,775.0
2026-02-25,M74,3,1,693.0
2026-02-25,M74,4,1,1535.0
2026-02-25,M74,1,2,1115.0
2026-02-25,M74,2,2,775.0
2026-02-25,M74,3,2,756.0
2026-02-25,M74,4,2,757.0
2026-02-25,M74,1,3,1446.0
2026-02-25,M74,2,3,1044.0
2026-02-25,M74,3,3,907.0
2026-02-25,M74,4,3,1535.0
2026-02-25,M74,1,4,1115.0
2026-02-25,M74,2,4,889.0
2026-02-25,M74,3,4,757.0
2026-02-25,M74,4,4,1094.0
